"Step","pca_resnet - episode_reward","pca_resnet - episode_reward__MIN","pca_resnet - episode_reward__MAX","complete_frozen_low_lr - episode_reward","complete_frozen_low_lr - episode_reward__MIN","complete_frozen_low_lr - episode_reward__MAX","cnn_scratch - episode_reward","cnn_scratch - episode_reward__MIN","cnn_scratch - episode_reward__MAX"
"6782","","","","","","","","",""
"6826","","","","","","","","",""
"6828","","","","","","","","",""
"6886","","","","","","","","",""
"6944","","","","","","","","",""
"6955","","","","","","","","",""
"6973","","","","","","","","",""
"7004","","","","","","","","",""
"7007","","","","","","","","",""
"7010","","","","","","","","",""
"7056","","","","","","","","",""
"7061","","","","","","","","",""
"7064","","","","","","","","",""
"7077","","","","","","","","",""
"7112","","","","","","","","",""
"7162","","","","","","","","",""
"7174","0.12978591033867104","0.12978591033867104","0.12978591033867104","0.16174216876198902","0.16174216876198902","0.16174216876198902","0.13526723555836936","0.13526723555836936","0.13526723555836936"
"7200","","","","","","","","",""
"7212","","","","","","","","",""
"7238","","","","","","","","",""
"7239","","","","","","","","",""
"7248","","","","","","","","",""
"7275","","","","","","","","",""
"7299","","","","","","","","",""
"7301","","","","","","","","",""
"7349","","","","","","","","",""
"7357","","","","","","","","",""
"7373","","","","","","","","",""
"7390","","","","","","","","",""
"7431","","","","","","","","",""
"7441","","","","","","","","",""
"7454","","","","","","","","",""
"7472","","","","","","","","",""
"7498","","","","","","","","",""
"7506","","","","","","","","",""
"7566","","","","","","","","",""
"7600","","","","","","","","",""
"7614","","","","","","","","",""
"7621","","","","","","","","",""
"7641","","","","","","","","",""
"7656","","","","","","","","",""
"7661","","","","","","","","",""
"7667","","","","","","","","",""
"7670","","","","","","","","",""
"7708","","","","","","","","",""
"7710","","","","","","","","",""
"7717","","","","","","","","",""
"7776","","","","","","","","",""
"7794","","","","","","","","",""
"7843","","","","","","","","",""
"7863","","","","","","","","",""
"7871","","","","","","","","",""
"7874","","","","","","","","",""
"7901","","","","","","","","",""
"7908","","","","","","","","",""
"7917","","","","","","","","",""
"7962","","","","","","","","",""
"7967","","","","","","","","",""
"7992","","","","","","","","",""
"7994","","","","","","","","",""
"8018","","","","","","","","",""
"8050","","","","","","","","",""
"8090","","","","","","","","",""
"8151","","","","","","","","",""
"8166","","","","","","","","",""
"8197","","","","","","","","",""
"8199","0.14069149457358987","0.14069149457358987","0.14069149457358987","0.18915574204730293","0.18915574204730293","0.18915574204730293","0.1366801375164728","0.1366801375164728","0.1366801375164728"
"8209","","","","","","","","",""
"8231","","","","","","","","",""
"8235","","","","","","","","",""
"8240","","","","","","","","",""
"8260","","","","","","","","",""
"8282","","","","","","","","",""
"8284","","","","","","","","",""
"8287","","","","","","","","",""
"8307","","","","","","","","",""
"8318","","","","","","","","",""
"8330","","","","","","","","",""
"8331","","","","","","","","",""
"8334","","","","","","","","",""
"8336","","","","","","","","",""
"8372","","","","","","","","",""
"8390","","","","","","","","",""
"8413","","","","","","","","",""
"8425","","","","","","","","",""
"8467","","","","","","","","",""
"8474","","","","","","","","",""
"8544","","","","","","","","",""
"8569","","","","","","","","",""
"8621","","","","","","","","",""
"8661","","","","","","","","",""
"8687","","","","","","","","",""
"8825","","","","","","","","",""
"8834","","","","","","","","",""
"8861","","","","","","","","",""
"8878","","","","","","","","",""
"8906","","","","","","","","",""
"8953","","","","","","","","",""
"8971","","","","","","","","",""
"8982","","","","","","","","",""
"8983","","","","","","","","",""
"9027","","","","","","","","",""
"9031","","","","","","","","",""
"9068","","","","","","","","",""
"9085","","","","","","","","",""
"9095","","","","","","","","",""
"9141","","","","","","","","",""
"9166","","","","","","","","",""
"9167","","","","","","","","",""
"9190","","","","","","","","",""
"9197","","","","","","","","",""
"9210","","","","","","","","",""
"9224","0.1891802623553668","0.1891802623553668","0.1891802623553668","0.17092617432943497","0.17092617432943497","0.17092617432943497","0.14328393109235898","0.14328393109235898","0.14328393109235898"
